Category,Year,Month,precip_mm
Pakistan,1993,3,34.54953
Bangladesh,1993,3,74.540535
Nepal,1993,3,39.711754
SriLanka,1993,3,55.840363
Thailand,1993,3,13.536512
VietNam,1993,3,40.766254
Indonesia,1993,3,148.82248
Philippines,1993,3,0.07903216
Myanmar,1993,3,0.75016564
Cambodia,1993,3,94.54218
China,1993,3,1.3820083
China,1993,3,6.112174
China,1993,3,138.47357
Japan,1993,3,64.37319
Kazakhstan,1993,3,35.99823
Iran,1993,3,44.466415
Turkiye,1993,3,1.5295281
India,1993,4,10.845813
India,1993,4,19.710995
India,1993,4,0.0
Pakistan,1993,4,4.809698
Bangladesh,1993,4,166.82718
Nepal,1993,4,44.684486
SriLanka,1993,4,84.23072
Thailand,1993,4,88.92703
VietNam,1993,4,12.351587
Indonesia,1993,4,289.46002
Philippines,1993,4,19.51262
Myanmar,1993,4,0.6982905
Cambodia,1993,4,139.3036
China,1993,4,36.60464
China,1993,4,22.622326
China,1993,4,168.72833
Japan,1993,4,77.39421
Kazakhstan,1993,4,52.69172
Iran,1993,4,65.82405
Turkiye,1993,4,38.04167
India,1994,2,0.0
India,1994,2,0.0
India,1994,2,1.0272799
Pakistan,1994,2,0.0
Bangladesh,1994,2,34.91576
Nepal,1994,2,0.0
SriLanka,1994,2,254.79688
Thailand,1994,2,27.736156
VietNam,1994,2,0.0
Indonesia,1994,2,323.2819
Philippines,1994,2,0.0
Myanmar,1994,2,1.2970085
Cambodia,1994,2,0.8405359
China,1994,2,8.17555
China,1994,2,0.0
China,1994,2,55.92289
Japan,1994,2,159.73032
Kazakhstan,1994,2,33.54442
Iran,1994,2,0.0
Turkiye,1994,2,21.132597
India,1994,3,4.64807
India,1994,3,0.35259464
India,1994,3,0.0
Pakistan,1994,3,7.192816
Bangladesh,1994,3,41.876072
Nepal,1994,3,0.0
SriLanka,1994,3,45.205616
Thailand,1994,3,68.37995
VietNam,1994,3,5.6099873
Indonesia,1994,3,458.95203
Philippines,1994,3,14.793426
Myanmar,1994,3,68.60853
Cambodia,1994,3,183.32663
China,1994,3,11.0978775
China,1994,3,0.0
China,1994,3,119.11052
Japan,1994,3,71.41263
Kazakhstan,1994,3,128.72882
Iran,1994,3,67.80412
Turkiye,1994,3,36.107483
India,1994,4,14.034329
India,1994,4,0.0
India,1994,4,0.0
Pakistan,1994,4,7.296983
Bangladesh,1994,4,135.79199
Nepal,1994,4,0.0
SriLanka,1994,4,118.51132
Thailand,1994,4,16.69192
VietNam,1994,4,41.1165
Indonesia,1994,4,245.97011
Philippines,1994,4,42.150734
Myanmar,1994,4,17.027576
Cambodia,1994,4,55.769447
China,1994,4,61.330196
China,1994,4,21.06866
China,1994,4,161.60997
Japan,1994,4,20.766312
Kazakhstan,1994,4,20.796371
Iran,1994,4,37.580063
Turkiye,1994,4,23.560232
India,1995,2,13.248329
India,1995,2,0.0
India,1995,2,0.7139161
Pakistan,1995,2,11.105985
Bangladesh,1995,2,25.630932
Nepal,1995,2,0.0
SriLanka,1995,2,84.68438
Thailand,1995,2,8.692757
VietNam,1995,2,0.0
Indonesia,1995,2,359.55078
Philippines,1995,2,0.0
Myanmar,1995,2,1.2968986
Cambodia,1995,2,0.5655502
China,1995,2,0.0
China,1995,2,0.0
China,1995,2,76.30313
Japan,1995,2,59.97058
Kazakhstan,1995,2,11.916588
Iran,1995,2,52.969612
Turkiye,1995,2,10.375169
India,1995,3,10.7105465
India,1995,3,4.844763
India,1995,3,12.50306
Pakistan,1995,3,23.811445
Bangladesh,1995,3,10.080223
Nepal,1995,3,20.169622
SriLanka,1995,3,37.33675
Thailand,1995,3,29.635345
VietNam,1995,3,5.451762
Indonesia,1995,3,168.66
Philippines,1995,3,0.07768261
Myanmar,1995,3,0.64551747
Cambodia,1995,3,71.69115
China,1995,3,28.350857
China,1995,3,21.991634
China,1995,3,63.512375
Japan,1995,3,166.74142
Kazakhstan,1995,3,10.985045
Iran,1995,3,39.17199
Turkiye,1995,3,39.768406
India,1995,4,17.321884
India,1995,4,0.0
India,1995,4,2.015457
Pakistan,1995,4,36.682945
Bangladesh,1995,4,65.59033
Nepal,1995,4,3.2870054
SriLanka,1995,4,169.30934
Thailand,1995,4,55.02449
VietNam,1995,4,2.3034801
Indonesia,1995,4,409.92123
Philippines,1995,4,3.8844275
Myanmar,1995,4,0.79344517
Cambodia,1995,4,63.530342
China,1995,4,11.951229
China,1995,4,44.37997
China,1995,4,220.45291
Japan,1995,4,72.59866
Kazakhstan,1995,4,8.161455
Iran,1995,4,61.359547
Turkiye,1995,4,38.19924
India,1996,2,41.362103
India,1996,2,10.376914
India,1996,2,1.4201723
Pakistan,1996,2,5.331432
Bangladesh,1996,2,41.280758
Nepal,1996,2,17.39868
SriLanka,1996,2,94.771835
Thailand,1996,2,19.944563
VietNam,1996,2,4.696576
Indonesia,1996,2,353.34573
Philippines,1996,2,14.989612
Myanmar,1996,2,2.0938232
Cambodia,1996,2,9.055067
China,1996,2,1.023219
China,1996,2,0.8164305
China,1996,2,31.743626
Japan,1996,2,60.190907
Kazakhstan,1996,2,15.415482
Iran,1996,2,13.451582
Turkiye,1996,2,6.620042
India,1996,3,50.510498
India,1996,3,9.559257
India,1996,3,12.247021
Pakistan,1996,3,29.943329
Bangladesh,1996,3,13.468218
Nepal,1996,3,0.0
SriLanka,1996,3,16.823519
Thailand,1996,3,8.228406
VietNam,1996,3,0.0
Indonesia,1996,3,149.54344
Philippines,1996,3,8.673475
Myanmar,1996,3,0.57587093
Cambodia,1996,3,5.594581
China,1996,3,73.61261
China,1996,3,26.01202
China,1996,3,214.95569
Japan,1996,3,101.62059
Kazakhstan,1996,3,4.3929987
Iran,1996,3,38.18367
Turkiye,1996,3,43.65026
India,1996,4,0.718515
India,1996,4,0.0
India,1996,4,1.5643027
Pakistan,1996,4,0.0
Bangladesh,1996,4,215.14908
Nepal,1996,4,6.263363
SriLanka,1996,4,198.21428
Thailand,1996,4,126.5724
VietNam,1996,4,76.80968
Indonesia,1996,4,109.15959
Philippines,1996,4,54.292267
Myanmar,1996,4,12.377466
Cambodia,1996,4,179.4251
China,1996,4,74.24213
China,1996,4,7.897279
China,1996,4,117.222946
Japan,1996,4,77.09099
