Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD11A2_061_Line_Y_1km,MYD11A2_061_Sample_X_1km,MYD11A2_061_LST_Day_1km,MYD11A2_061_QC_Day,MYD11A2_061_QC_Day_bitmask,MYD11A2_061_QC_Day_MODLAND,MYD11A2_061_QC_Day_MODLAND_Description,MYD11A2_061_QC_Day_Data_Quality_flag,MYD11A2_061_QC_Day_Data_Quality_flag_Description,MYD11A2_061_QC_Day_Emis_Error_flag,MYD11A2_061_QC_Day_Emis_Error_flag_Description,MYD11A2_061_QC_Day_LST_Error_Flag,MYD11A2_061_QC_Day_LST_Error_Flag_Description
Bangladesh,5,24.0,90.0,2004-01-01,h26v06,719.0,266.0,297.18,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-01-09,h26v06,719.0,266.0,298.38,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-01-17,h26v06,719.0,266.0,298.08,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bangladesh,5,24.0,90.0,2004-01-25,h26v06,719.0,266.0,299.0,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-02-02,h26v06,719.0,266.0,299.86,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-02-10,h26v06,719.0,266.0,302.58,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-02-18,h26v06,719.0,266.0,303.06,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-02-26,h26v06,719.0,266.0,303.62,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-03-05,h26v06,719.0,266.0,302.58,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-03-13,h26v06,719.0,266.0,303.92,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-03-21,h26v06,719.0,266.0,305.26,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-03-29,h26v06,719.0,266.0,303.74,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-04-06,h26v06,719.0,266.0,303.26,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-04-14,h26v06,719.0,266.0,306.7,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-04-22,h26v06,719.0,266.0,304.78,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-04-30,h26v06,719.0,266.0,304.56,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-05-08,h26v06,719.0,266.0,307.62,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-05-16,h26v06,719.0,266.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-05-24,h26v06,719.0,266.0,304.38,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bangladesh,5,24.0,90.0,2004-06-01,h26v06,719.0,266.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-06-09,h26v06,719.0,266.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-06-17,h26v06,719.0,266.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bangladesh,5,24.0,90.0,2004-06-25,h26v06,719.0,266.0,304.52,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Bangladesh,5,24.0,90.0,2004-07-03,h26v06,719.0,266.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
